 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   H [cm^-2]   Tot [cm^-2] Scale height [cm]
  2422.00    1.446E+13    1.062E+06    4.278E-27    5.373E+13    6.819E+13     2.537E+07
  2420.00    1.458E+13    1.079E+06    4.278E-27    5.402E+13    6.860E+13     2.557E+07
  2418.00    1.482E+13    1.114E+06    4.278E-27    5.461E+13    6.943E+13     2.474E+07
  2416.00    1.494E+13    1.132E+06    4.278E-27    5.490E+13    6.985E+13     2.494E+07
  2414.00    1.519E+13    1.168E+06    4.278E-27    5.550E+13    7.069E+13     2.327E+07
  2412.00    1.532E+13    1.187E+06    4.278E-27    5.579E+13    7.111E+13     2.347E+07
  2410.00    1.557E+13    1.225E+06    4.278E-27    5.640E+13    7.196E+13     2.283E+07
  2408.00    1.570E+13    1.245E+06    4.278E-27    5.670E+13    7.240E+13     2.223E+07
  2406.00    1.596E+13    1.286E+06    4.278E-27    5.731E+13    7.327E+13     2.169E+07
  2404.00    1.609E+13    1.306E+06    4.278E-27    5.762E+13    7.371E+13     2.189E+07
  2402.00    1.636E+13    1.349E+06    4.278E-27    5.824E+13    7.459E+13     2.137E+07
  2400.00    1.649E+13    1.371E+06    4.278E-27    5.855E+13    7.504E+13     2.157E+07
  2398.00    1.676E+13    1.416E+06    4.278E-27    5.918E+13    7.594E+13     2.109E+07
  2396.00    1.690E+13    1.439E+06    4.278E-27    5.950E+13    7.640E+13     2.198E+07
  2394.00    1.718E+13    1.486E+06    4.278E-27    6.014E+13    7.732E+13     2.218E+07
  2392.00    1.732E+13    1.510E+06    4.278E-27    6.046E+13    7.778E+13     2.238E+07
  2390.00    1.761E+13    1.559E+06    4.278E-27    6.111E+13    7.872E+13     2.258E+07
  2388.00    1.775E+13    1.585E+06    4.278E-27    6.144E+13    7.919E+13     2.354E+07
  2386.00    1.805E+13    1.636E+06    4.278E-27    6.209E+13    8.014E+13     2.374E+07
  2384.00    1.820E+13    1.663E+06    4.278E-27    6.243E+13    8.062E+13     2.394E+07
  2382.00    1.850E+13    1.717E+06    4.278E-27    6.309E+13    8.159E+13     2.414E+07
  2380.00    1.865E+13    1.745E+06    4.278E-27    6.343E+13    8.208E+13     2.434E+07
  2378.00    1.895E+13    1.801E+06    4.278E-27    6.411E+13    8.306E+13     2.454E+07
  2376.00    1.911E+13    1.830E+06    4.278E-27    6.445E+13    8.356E+13     2.474E+07
  2374.00    1.943E+13    1.889E+06    4.278E-27    6.513E+13    8.456E+13     2.414E+07
  2372.00    1.959E+13    1.920E+06    4.278E-27    6.548E+13    8.506E+13     2.357E+07
  2370.00    1.991E+13    1.982E+06    4.278E-27    6.617E+13    8.608E+13     2.454E+07
  2368.00    2.007E+13    2.013E+06    4.278E-27    6.652E+13    8.659E+13     2.324E+07
  2366.00    2.040E+13    2.078E+06    4.278E-27    6.723E+13    8.763E+13     2.344E+07
  2364.00    2.057E+13    2.111E+06    4.278E-27    6.758E+13    8.815E+13     2.295E+07
  2362.00    2.091E+13    2.179E+06    4.278E-27    6.829E+13    8.920E+13     2.249E+07
  2360.00    2.108E+13    2.215E+06    4.278E-27    6.865E+13    8.973E+13     2.206E+07
  2358.00    2.142E+13    2.286E+06    4.278E-27    6.938E+13    9.080E+13     2.165E+07
  2356.00    2.160E+13    2.323E+06    4.278E-27    6.974E+13    9.134E+13     2.185E+07
  2354.00    2.196E+13    2.399E+06    4.278E-27    7.048E+13    9.244E+13     2.147E+07
  2352.00    2.214E+13    2.438E+06    4.278E-27    7.085E+13    9.299E+13     2.112E+07
  2350.00    2.250E+13    2.517E+06    4.278E-27    7.160E+13    9.410E+13     2.188E+07
  2348.00    2.269E+13    2.558E+06    4.278E-27    7.197E+13    9.466E+13     2.151E+07
  2346.00    2.306E+13    2.642E+06    4.278E-27    7.273E+13    9.579E+13     2.171E+07
  2344.00    2.325E+13    2.685E+06    4.278E-27    7.311E+13    9.636E+13     2.191E+07
  2342.00    2.363E+13    2.773E+06    4.278E-27    7.388E+13    9.752E+13     2.269E+07
  2340.00    2.383E+13    2.818E+06    4.278E-27    7.427E+13    9.810E+13     2.289E+07
  2338.00    2.422E+13    2.911E+06    4.278E-27    7.505E+13    9.927E+13     2.372E+07
  2336.00    2.442E+13    2.958E+06    4.278E-27    7.544E+13    9.986E+13     2.392E+07
  2334.00    2.482E+13    3.055E+06    4.278E-27    7.623E+13    1.011E+14     2.348E+07
  2332.00    2.503E+13    3.104E+06    4.278E-27    7.663E+13    1.017E+14     2.432E+07
  2330.00    2.544E+13    3.205E+06    4.278E-27    7.743E+13    1.029E+14     2.452E+07
  2328.00    2.565E+13    3.257E+06    4.278E-27    7.784E+13    1.035E+14     2.407E+07
  2326.00    2.607E+13    3.363E+06    4.278E-27    7.865E+13    1.047E+14     2.427E+07
  2324.00    2.628E+13    3.417E+06    4.278E-27    7.906E+13    1.053E+14     2.447E+07
  2322.00    2.671E+13    3.527E+06    4.279E-27    7.988E+13    1.066E+14     2.344E+07
  2320.00    2.693E+13    3.584E+06    4.279E-27    8.030E+13    1.072E+14     2.364E+07
  2318.00    2.737E+13    3.700E+06    4.279E-27    8.113E+13    1.085E+14     2.326E+07
  2316.00    2.759E+13    3.759E+06    4.279E-27    8.155E+13    1.091E+14     2.237E+07
  2314.00    2.804E+13    3.881E+06    4.279E-27    8.239E+13    1.104E+14     2.257E+07
  2312.00    2.827E+13    3.943E+06    4.279E-27    8.282E+13    1.111E+14     2.176E+07
  2310.00    2.874E+13    4.071E+06    4.279E-27    8.368E+13    1.124E+14     2.148E+07
  2308.00    2.897E+13    4.136E+06    4.279E-27    8.411E+13    1.131E+14     2.077E+07
  2306.00    2.945E+13    4.271E+06    4.279E-27    8.498E+13    1.144E+14     2.055E+07
  2304.00    2.969E+13    4.340E+06    4.279E-27    8.542E+13    1.151E+14     2.075E+07
  2302.00    3.017E+13    4.481E+06    4.280E-27    8.631E+13    1.165E+14     2.053E+07
  2300.00    3.042E+13    4.554E+06    4.280E-27    8.675E+13    1.172E+14     2.073E+07
  2298.00    3.092E+13    4.703E+06    4.280E-27    8.765E+13    1.186E+14     2.093E+07
  2296.00    3.117E+13    4.780E+06    4.280E-27    8.811E+13    1.193E+14     2.113E+07
  2294.00    3.169E+13    4.937E+06    4.281E-27    8.902E+13    1.207E+14     2.176E+07
  2292.00    3.195E+13    5.017E+06    4.281E-27    8.948E+13    1.214E+14     2.196E+07
  2290.00    3.247E+13    5.182E+06    4.281E-27    9.041E+13    1.229E+14     2.262E+07
  2288.00    3.274E+13    5.266E+06    4.282E-27    9.088E+13    1.236E+14     2.382E+07
  2286.00    3.327E+13    5.439E+06    4.282E-27    9.182E+13    1.251E+14     2.351E+07
  2284.00    3.354E+13    5.527E+06    4.282E-27    9.229E+13    1.258E+14     2.476E+07
  2282.00    3.409E+13    5.708E+06    4.283E-27    9.324E+13    1.273E+14     2.442E+07
  2280.00    3.437E+13    5.800E+06    4.283E-27    9.372E+13    1.281E+14     2.462E+07
  2278.00    3.493E+13    5.989E+06    4.283E-27    9.469E+13    1.296E+14     2.482E+07
  2276.00    3.522E+13    6.086E+06    4.284E-27    9.517E+13    1.304E+14     2.449E+07
  2274.00    3.579E+13    6.283E+06    4.284E-27    9.615E+13    1.319E+14     2.468E+07
  2272.00    3.608E+13    6.385E+06    4.285E-27    9.664E+13    1.327E+14     2.437E+07
  2270.00    3.667E+13    6.592E+06    4.285E-27    9.763E+13    1.343E+14     2.358E+07
  2268.00    3.697E+13    6.698E+06    4.286E-27    9.813E+13    1.351E+14     2.332E+07
  2266.00    3.757E+13    6.915E+06    4.287E-27    9.913E+13    1.367E+14     2.307E+07
  2264.00    3.787E+13    7.026E+06    4.288E-27    9.963E+13    1.375E+14     2.200E+07
  2262.00    3.849E+13    7.253E+06    4.289E-27    1.006E+14    1.391E+14     2.180E+07
  2260.00    3.880E+13    7.371E+06    4.290E-27    1.012E+14    1.400E+14     2.088E+07
  2258.00    3.943E+13    7.610E+06    4.292E-27    1.022E+14    1.416E+14     2.073E+07
  2256.00    3.975E+13    7.733E+06    4.293E-27    1.027E+14    1.425E+14     2.025E+07
  2254.00    4.040E+13    7.985E+06    4.296E-27    1.038E+14    1.442E+14     1.982E+07
  2252.00    4.073E+13    8.115E+06    4.298E-27    1.043E+14    1.450E+14     2.002E+07
  2250.00    4.139E+13    8.381E+06    4.301E-27    1.054E+14    1.467E+14     1.990E+07
  2248.00    4.173E+13    8.517E+06    4.303E-27    1.059E+14    1.476E+14     2.010E+07
  2246.00    4.241E+13    8.797E+06    4.307E-27    1.070E+14    1.494E+14     2.062E+07
  2244.00    4.276E+13    8.941E+06    4.310E-27    1.075E+14    1.503E+14     2.082E+07
  2242.00    4.346E+13    9.234E+06    4.314E-27    1.086E+14    1.521E+14     2.136E+07
  2240.00    4.382E+13    9.385E+06    4.317E-27    1.092E+14    1.530E+14     2.190E+07
  2238.00    4.453E+13    9.693E+06    4.321E-27    1.103E+14    1.548E+14     2.284E+07
  2236.00    4.490E+13    9.851E+06    4.324E-27    1.108E+14    1.557E+14     2.304E+07
  2234.00    4.563E+13    1.017E+07    4.329E-27    1.120E+14    1.576E+14     2.363E+07
  2232.00    4.601E+13    1.034E+07    4.331E-27    1.125E+14    1.585E+14     2.344E+07
  2230.00    4.676E+13    1.068E+07    4.336E-27    1.137E+14    1.604E+14     2.404E+07
  2228.00    4.714E+13    1.085E+07    4.339E-27    1.143E+14    1.614E+14     2.424E+07
  2226.00    4.791E+13    1.120E+07    4.344E-27    1.154E+14    1.633E+14     2.403E+07
  2224.00    4.830E+13    1.138E+07    4.348E-27    1.160E+14    1.643E+14     2.383E+07
  2222.00    4.908E+13    1.175E+07    4.355E-27    1.172E+14    1.663E+14     2.364E+07
  2220.00    4.948E+13    1.194E+07    4.359E-27    1.178E+14    1.672E+14     2.310E+07
  2218.00    5.029E+13    1.233E+07    4.369E-27    1.190E+14    1.692E+14     2.294E+07
  2216.00    5.070E+13    1.253E+07    4.375E-27    1.196E+14    1.702E+14     2.245E+07
  2214.00    5.152E+13    1.293E+07    4.389E-27    1.208E+14    1.723E+14     2.168E+07
  2212.00    5.194E+13    1.314E+07    4.397E-27    1.214E+14    1.733E+14     2.127E+07
  2210.00    5.279E+13    1.357E+07    4.417E-27    1.226E+14    1.754E+14     2.061E+07
  2208.00    5.322E+13    1.379E+07    4.429E-27    1.232E+14    1.764E+14     2.027E+07
  2206.00    5.408E+13    1.424E+07    4.456E-27    1.244E+14    1.785E+14     1.995E+07
  2204.00    5.452E+13    1.447E+07    4.473E-27    1.251E+14    1.796E+14     1.966E+07
  2202.00    5.541E+13    1.494E+07    4.508E-27    1.263E+14    1.817E+14     1.986E+07
  2200.00    5.587E+13    1.519E+07    4.528E-27    1.270E+14    1.828E+14     1.957E+07
  2198.00    5.678E+13    1.569E+07    4.572E-27    1.282E+14    1.850E+14     2.001E+07
  2196.00    5.724E+13    1.594E+07    4.596E-27    1.289E+14    1.861E+14     2.021E+07
  2194.00    5.818E+13    1.647E+07    4.645E-27    1.302E+14    1.884E+14     2.093E+07
  2192.00    5.866E+13    1.674E+07    4.671E-27    1.308E+14    1.895E+14     2.112E+07
  2190.00    5.962E+13    1.729E+07    4.724E-27    1.322E+14    1.918E+14     2.187E+07
  2188.00    6.010E+13    1.757E+07    4.751E-27    1.328E+14    1.929E+14     2.265E+07
  2186.00    6.109E+13    1.815E+07    4.804E-27    1.342E+14    1.953E+14     2.285E+07
  2184.00    6.158E+13    1.844E+07    4.831E-27    1.348E+14    1.964E+14     2.336E+07
  2182.00    6.259E+13    1.905E+07    4.885E-27    1.362E+14    1.988E+14     2.388E+07
  2180.00    6.310E+13    1.936E+07    4.912E-27    1.369E+14    2.000E+14     2.376E+07
  2178.00    6.413E+13    1.999E+07    4.971E-27    1.383E+14    2.024E+14     2.396E+07
  2176.00    6.465E+13    2.031E+07    5.003E-27    1.389E+14    2.036E+14     2.384E+07
  2174.00    6.570E+13    2.097E+07    5.073E-27    1.403E+14    2.060E+14     2.373E+07
  2172.00    6.624E+13    2.131E+07    5.114E-27    1.410E+14    2.073E+14     2.362E+07
  2170.00    6.731E+13    2.200E+07    5.207E-27    1.424E+14    2.098E+14     2.294E+07
  2168.00    6.786E+13    2.236E+07    5.263E-27    1.431E+14    2.110E+14     2.258E+07
  2166.00    6.896E+13    2.308E+07    5.393E-27    1.446E+14    2.135E+14     2.224E+07
  2164.00    6.952E+13    2.346E+07    5.474E-27    1.453E+14    2.148E+14     2.144E+07
  2162.00    7.065E+13    2.422E+07    5.660E-27    1.467E+14    2.174E+14     2.093E+07
  2160.00    7.122E+13    2.461E+07    5.775E-27    1.475E+14    2.187E+14     2.025E+07
  2158.00    7.238E+13    2.541E+07    6.037E-27    1.489E+14    2.213E+14     1.983E+07
  2156.00    7.296E+13    2.583E+07    6.197E-27    1.497E+14    2.226E+14     1.889E+07
  2154.00    7.415E+13    2.667E+07    6.551E-27    1.512E+14    2.253E+14     2.004E+07
  2152.00    7.475E+13    2.711E+07    6.757E-27    1.519E+14    2.267E+14     2.024E+07
  2150.00    7.597E+13    2.800E+07    7.205E-27    1.534E+14    2.294E+14     1.858E+07
  2148.00    7.659E+13    2.845E+07    7.455E-27    1.542E+14    2.308E+14     1.878E+07
  2146.00    7.784E+13    2.939E+07    7.983E-27    1.557E+14    2.336E+14     2.088E+07
  2144.00    7.847E+13    2.988E+07    8.267E-27    1.565E+14    2.350E+14     1.916E+07
  2142.00    7.976E+13    3.086E+07    8.849E-27    1.581E+14    2.378E+14     2.130E+07
  2140.00    8.041E+13    3.137E+07    9.149E-27    1.589E+14    2.393E+14     2.150E+07
  2138.00    8.172E+13    3.240E+07    9.749E-27    1.605E+14    2.422E+14     2.170E+07
  2136.00    8.239E+13    3.293E+07    1.005E-26    1.613E+14    2.436E+14     2.190E+07
  2134.00    8.373E+13    3.401E+07    1.064E-26    1.629E+14    2.466E+14     2.210E+07
  2132.00    8.441E+13    3.457E+07    1.094E-26    1.637E+14    2.481E+14     2.478E+07
  2130.00    8.579E+13    3.570E+07    1.156E-26    1.653E+14    2.511E+14     2.248E+07
  2128.00    8.648E+13    3.628E+07    1.189E-26    1.661E+14    2.526E+14     2.268E+07
  2126.00    8.789E+13    3.746E+07    1.259E-26    1.678E+14    2.557E+14     2.542E+07
  2124.00    8.860E+13    3.807E+07    1.299E-26    1.686E+14    2.572E+14     2.306E+07
  2122.00    9.004E+13    3.931E+07    1.387E-26    1.703E+14    2.603E+14     2.115E+07
  2120.00    9.077E+13    3.994E+07    1.441E-26    1.711E+14    2.619E+14     2.348E+07
  2118.00    9.225E+13    4.124E+07    1.563E-26    1.728E+14    2.651E+14     2.153E+07
  2116.00    9.299E+13    4.191E+07    1.639E-26    1.737E+14    2.667E+14     2.173E+07
  2114.00    9.450E+13    4.327E+07    1.814E-26    1.754E+14    2.699E+14     2.193E+07
  2112.00    9.527E+13    4.397E+07    1.923E-26    1.762E+14    2.715E+14     2.028E+07
  2110.00    9.681E+13    4.540E+07    2.173E-26    1.780E+14    2.748E+14     2.048E+07
  2108.00    9.760E+13    4.614E+07    2.327E-26    1.789E+14    2.765E+14     1.909E+07
  2106.00    9.918E+13    4.764E+07    2.675E-26    1.806E+14    2.798E+14     1.929E+07
  2104.00    9.999E+13    4.842E+07    2.883E-26    1.815E+14    2.815E+14     1.949E+07
  2102.00    1.016E+14    5.001E+07    3.338E-26    1.833E+14    2.849E+14     1.829E+07
  2100.00    1.024E+14    5.083E+07    3.599E-26    1.842E+14    2.867E+14     1.991E+07
  2098.00    1.041E+14    5.250E+07    4.155E-26    1.860E+14    2.902E+14     1.867E+07
  2096.00    1.050E+14    5.337E+07    4.460E-26    1.870E+14    2.919E+14     2.032E+07
  2094.00    1.067E+14    5.513E+07    5.094E-26    1.888E+14    2.955E+14     1.906E+07
  2092.00    1.076E+14    5.604E+07    5.427E-26    1.898E+14    2.973E+14     2.074E+07
  2090.00    1.093E+14    5.788E+07    6.101E-26    1.916E+14    3.009E+14     2.094E+07
  2088.00    1.102E+14    5.884E+07    6.439E-26    1.926E+14    3.028E+14     2.113E+07
  2086.00    1.120E+14    6.077E+07    7.111E-26    1.945E+14    3.065E+14     2.311E+07
  2084.00    1.129E+14    6.177E+07    7.445E-26    1.955E+14    3.084E+14     2.152E+07
  2082.00    1.148E+14    6.379E+07    8.117E-26    1.974E+14    3.121E+14     2.353E+07
  2080.00    1.157E+14    6.484E+07    8.462E-26    1.984E+14    3.140E+14     2.190E+07
  2078.00    1.176E+14    6.696E+07    9.184E-26    2.003E+14    3.179E+14     2.210E+07
  2076.00    1.185E+14    6.805E+07    9.580E-26    2.013E+14    3.198E+14     2.416E+07
  2074.00    1.205E+14    7.026E+07    1.045E-25    2.033E+14    3.237E+14     2.249E+07
  2072.00    1.214E+14    7.140E+07    1.096E-25    2.043E+14    3.257E+14     2.107E+07
  2070.00    1.234E+14    7.373E+07    1.212E-25    2.063E+14    3.297E+14     2.291E+07
  2068.00    1.244E+14    7.492E+07    1.283E-25    2.073E+14    3.317E+14     2.146E+07
  2066.00    1.264E+14    7.736E+07    1.447E-25    2.093E+14    3.358E+14     2.022E+07
  2064.00    1.274E+14    7.862E+07    1.549E-25    2.104E+14    3.378E+14     2.188E+07
  2062.00    1.295E+14    8.118E+07    1.786E-25    2.124E+14    3.419E+14     1.932E+07
  2060.00    1.306E+14    8.250E+07    1.933E-25    2.135E+14    3.440E+14     1.952E+07
  2058.00    1.327E+14    8.520E+07    2.270E-25    2.156E+14    3.482E+14     1.856E+07
  2056.00    1.338E+14    8.659E+07    2.475E-25    2.166E+14    3.504E+14     1.876E+07
  2054.00    1.359E+14    8.943E+07    2.933E-25    2.187E+14    3.547E+14     1.896E+07
  2052.00    1.370E+14    9.090E+07    3.200E-25    2.198E+14    3.569E+14     1.810E+07
  2050.00    1.393E+14    9.391E+07    3.778E-25    2.220E+14    3.613E+14     1.937E+07
  2048.00    1.404E+14    9.545E+07    4.101E-25    2.231E+14    3.635E+14     1.848E+07
  2046.00    1.427E+14    9.862E+07    4.783E-25    2.253E+14    3.680E+14     1.867E+07
  2044.00    1.439E+14    1.002E+08    5.149E-25    2.264E+14    3.703E+14     1.997E+07
  2042.00    1.462E+14    1.036E+08    5.898E-25    2.286E+14    3.749E+14     2.016E+07
  2040.00    1.474E+14    1.053E+08    6.283E-25    2.297E+14    3.772E+14     2.035E+07
  2038.00    1.498E+14    1.088E+08    7.049E-25    2.320E+14    3.819E+14     2.182E+07
  2036.00    1.511E+14    1.106E+08    7.428E-25    2.332E+14    3.842E+14     2.201E+07
  2034.00    1.535E+14    1.142E+08    8.182E-25    2.354E+14    3.890E+14     2.221E+07
  2032.00    1.548E+14    1.161E+08    8.560E-25    2.366E+14    3.914E+14     2.241E+07
  2030.00    1.573E+14    1.199E+08    9.331E-25    2.389E+14    3.962E+14     2.261E+07
  2028.00    1.586E+14    1.219E+08    9.740E-25    2.401E+14    3.987E+14     2.282E+07
  2026.00    1.612E+14    1.259E+08    1.061E-24    2.425E+14    4.036E+14     2.304E+07
  2024.00    1.625E+14    1.280E+08    1.111E-24    2.436E+14    4.061E+14     2.189E+07
  2022.00    1.651E+14    1.321E+08    1.222E-24    2.460E+14    4.111E+14     2.211E+07
  2020.00    1.665E+14    1.343E+08    1.290E-24    2.472E+14    4.137E+14     2.233E+07
  2018.00    1.692E+14    1.387E+08    1.445E-24    2.496E+14    4.188E+14     2.131E+07
  2016.00    1.705E+14    1.409E+08    1.541E-24    2.509E+14    4.214E+14     2.040E+07
  2014.00    1.733E+14    1.455E+08    1.764E-24    2.533E+14    4.266E+14     1.960E+07
  2012.00    1.747E+14    1.479E+08    1.904E-24    2.545E+14    4.292E+14     1.983E+07
  2010.00    1.775E+14    1.527E+08    2.226E-24    2.570E+14    4.346E+14     1.911E+07
  2008.00    1.790E+14    1.552E+08    2.426E-24    2.583E+14    4.372E+14     1.845E+07
  2006.00    1.819E+14    1.603E+08    2.878E-24    2.608E+14    4.427E+14     1.785E+07
  2004.00    1.834E+14    1.629E+08    3.147E-24    2.621E+14    4.454E+14     1.731E+07
  2002.00    1.864E+14    1.683E+08    3.740E-24    2.646E+14    4.510E+14     1.829E+07
  2000.00    1.879E+14    1.710E+08    4.079E-24    2.659E+14    4.538E+14     1.771E+07
  1998.00    1.909E+14    1.767E+08    4.803E-24    2.686E+14    4.595E+14     1.791E+07
  1996.00    1.925E+14    1.796E+08    5.200E-24    2.699E+14    4.624E+14     1.890E+07
  1994.00    1.957E+14    1.855E+08    6.023E-24    2.725E+14    4.682E+14     1.909E+07
  1992.00    1.973E+14    1.886E+08    6.456E-24    2.739E+14    4.712E+14     1.926E+07
  1990.00    2.005E+14    1.948E+08    7.327E-24    2.766E+14    4.771E+14     2.032E+07
  1988.00    2.022E+14    1.980E+08    7.763E-24    2.779E+14    4.801E+14     2.049E+07
  1986.00    2.055E+14    2.045E+08    8.626E-24    2.807E+14    4.861E+14     2.165E+07
  1984.00    2.071E+14    2.079E+08    9.053E-24    2.821E+14    4.892E+14     2.182E+07
  1982.00    2.105E+14    2.147E+08    9.908E-24    2.848E+14    4.954E+14     2.309E+07
  1980.00    2.123E+14    2.182E+08    1.034E-23    2.862E+14    4.985E+14     2.215E+07
  1978.00    2.157E+14    2.253E+08    1.126E-23    2.890E+14    5.047E+14     2.233E+07
  1976.00    2.175E+14    2.290E+08    1.175E-23    2.904E+14    5.079E+14     2.364E+07
  1974.00    2.210E+14    2.365E+08    1.285E-23    2.933E+14    5.143E+14     2.166E+07
  1972.00    2.228E+14    2.403E+08    1.350E-23    2.947E+14    5.175E+14     2.289E+07
  1970.00    2.265E+14    2.482E+08    1.497E-23    2.976E+14    5.240E+14     2.204E+07
  1968.00    2.283E+14    2.522E+08    1.588E-23    2.990E+14    5.273E+14     2.127E+07
  1966.00    2.320E+14    2.604E+08    1.798E-23    3.019E+14    5.339E+14     2.058E+07
  1964.00    2.339E+14    2.647E+08    1.930E-23    3.034E+14    5.373E+14     2.078E+07
  1962.00    2.377E+14    2.733E+08    2.235E-23    3.063E+14    5.440E+14     1.938E+07
  1960.00    2.396E+14    2.777E+08    2.426E-23    3.078E+14    5.474E+14     1.886E+07
  1958.00    2.435E+14    2.868E+08    2.863E-23    3.108E+14    5.543E+14     1.907E+07
  1956.00    2.455E+14    2.915E+08    3.131E-23    3.123E+14    5.578E+14     1.795E+07
  1954.00    2.495E+14    3.011E+08    3.727E-23    3.153E+14    5.649E+14     1.816E+07
  1952.00    2.516E+14    3.061E+08    4.076E-23    3.169E+14    5.684E+14     1.775E+07
  1950.00    2.557E+14    3.162E+08    4.831E-23    3.200E+14    5.756E+14     1.857E+07
  1948.00    2.578E+14    3.214E+08    5.254E-23    3.215E+14    5.793E+14     1.815E+07
  1946.00    2.620E+14    3.320E+08    6.144E-23    3.247E+14    5.866E+14     1.835E+07
  1944.00    2.641E+14    3.375E+08    6.621E-23    3.262E+14    5.904E+14     1.855E+07
  1942.00    2.685E+14    3.487E+08    7.599E-23    3.294E+14    5.979E+14     1.940E+07
  1940.00    2.707E+14    3.544E+08    8.099E-23    3.310E+14    6.017E+14     1.960E+07
  1938.00    2.751E+14    3.662E+08    9.093E-23    3.343E+14    6.094E+14     2.050E+07
  1936.00    2.774E+14    3.722E+08    9.583E-23    3.359E+14    6.132E+14     2.070E+07
  1934.00    2.819E+14    3.845E+08    1.056E-22    3.392E+14    6.211E+14     2.167E+07
  1932.00    2.842E+14    3.908E+08    1.104E-22    3.408E+14    6.250E+14     2.109E+07
  1930.00    2.889E+14    4.037E+08    1.203E-22    3.441E+14    6.330E+14     2.207E+07
  1928.00    2.912E+14    4.103E+08    1.255E-22    3.458E+14    6.370E+14     2.148E+07
  1926.00    2.960E+14    4.237E+08    1.367E-22    3.492E+14    6.451E+14     2.168E+07
  1924.00    2.984E+14    4.307E+08    1.431E-22    3.509E+14    6.492E+14     2.112E+07
  1922.00    3.032E+14    4.448E+08    1.574E-22    3.543E+14    6.575E+14     2.132E+07
  1920.00    3.057E+14    4.520E+08    1.661E-22    3.560E+14    6.617E+14     2.080E+07
  1918.00    3.107E+14    4.668E+08    1.861E-22    3.594E+14    6.701E+14     2.033E+07
  1916.00    3.132E+14    4.744E+08    1.987E-22    3.612E+14    6.744E+14     2.053E+07
  1914.00    3.183E+14    4.899E+08    2.278E-22    3.647E+14    6.829E+14     1.947E+07
  1912.00    3.209E+14    4.979E+08    2.461E-22    3.664E+14    6.873E+14     1.909E+07
  1910.00    3.261E+14    5.142E+08    2.883E-22    3.700E+14    6.961E+14     1.874E+07
  1908.00    3.287E+14    5.227E+08    3.145E-22    3.718E+14    7.005E+14     1.792E+07
  1906.00    3.341E+14    5.398E+08    3.740E-22    3.754E+14    7.095E+14     1.812E+07
  1904.00    3.368E+14    5.487E+08    4.095E-22    3.772E+14    7.140E+14     1.784E+07
  1902.00    3.423E+14    5.668E+08    4.877E-22    3.809E+14    7.232E+14     1.757E+07
  1900.00    3.451E+14    5.762E+08    5.324E-22    3.827E+14    7.278E+14     1.777E+07
  1898.00    3.507E+14    5.953E+08    6.278E-22    3.865E+14    7.372E+14     1.797E+07
  1896.00    3.536E+14    6.052E+08    6.801E-22    3.883E+14    7.419E+14     1.818E+07
  1894.00    3.594E+14    6.253E+08    7.885E-22    3.921E+14    7.515E+14     1.838E+07
  1892.00    3.623E+14    6.356E+08    8.452E-22    3.941E+14    7.564E+14     1.906E+07
  1890.00    3.683E+14    6.567E+08    9.594E-22    3.979E+14    7.662E+14     1.926E+07
  1888.00    3.713E+14    6.676E+08    1.016E-21    3.998E+14    7.711E+14     2.054E+07
  1886.00    3.774E+14    6.898E+08    1.129E-21    4.037E+14    7.811E+14     2.018E+07
  1884.00    3.805E+14    7.011E+08    1.184E-21    4.057E+14    7.862E+14     2.095E+07
  1882.00    3.867E+14    7.243E+08    1.294E-21    4.097E+14    7.963E+14     2.058E+07
  1880.00    3.898E+14    7.362E+08    1.350E-21    4.116E+14    8.015E+14     2.135E+07
  1878.00    3.962E+14    7.605E+08    1.467E-21    4.157E+14    8.119E+14     2.097E+07
  1876.00    3.994E+14    7.729E+08    1.531E-21    4.177E+14    8.171E+14     2.117E+07
  1874.00    4.060E+14    7.983E+08    1.672E-21    4.217E+14    8.277E+14     2.081E+07
  1872.00    4.093E+14    8.114E+08    1.756E-21    4.238E+14    8.330E+14     2.101E+07
  1870.00    4.159E+14    8.380E+08    1.947E-21    4.279E+14    8.438E+14     2.067E+07
  1868.00    4.193E+14    8.516E+08    2.065E-21    4.299E+14    8.492E+14     1.985E+07
  1866.00    4.261E+14    8.795E+08    2.341E-21    4.341E+14    8.602E+14     1.957E+07
  1864.00    4.296E+14    8.939E+08    2.514E-21    4.362E+14    8.658E+14     1.931E+07
  1862.00    4.366E+14    9.232E+08    2.918E-21    4.404E+14    8.770E+14     1.864E+07
  1860.00    4.402E+14    9.383E+08    3.171E-21    4.425E+14    8.827E+14     1.804E+07
  1858.00    4.473E+14    9.692E+08    3.754E-21    4.468E+14    8.942E+14     1.786E+07
  1856.00    4.510E+14    9.851E+08    4.110E-21    4.490E+14    9.000E+14     1.769E+07
  1854.00    4.584E+14    1.018E+09    4.906E-21    4.533E+14    9.117E+14     1.754E+07
  1852.00    4.621E+14    1.034E+09    5.372E-21    4.555E+14    9.176E+14     1.739E+07
  1850.00    4.697E+14    1.069E+09    6.381E-21    4.599E+14    9.296E+14     1.759E+07
  1848.00    4.735E+14    1.086E+09    6.946E-21    4.622E+14    9.357E+14     1.745E+07
  1846.00    4.813E+14    1.122E+09    8.133E-21    4.667E+14    9.480E+14     1.799E+07
  1844.00    4.853E+14    1.141E+09    8.768E-21    4.689E+14    9.542E+14     1.819E+07
